0,17,54,21,28,17,2147483647,18,29,26,35,33,21,2147483647,25,11,21,2147483647,16,2147483647,44,38,19,13,28,31,26,22,27,29,23,2147483647,36,14,19,22,32,22,2147483647,22,25,41,2147483647,32,7,20,8,30,20,29,45,29,20,35,7,21,1,33,25,31,36,2147483647,15,15,21,21,22,33,2147483647,2147483647,28,2147483647,23,28,38,2147483647,21,20,2147483647,18,25,21,28,41,39,32,39,44,23,2147483647,33,2147483647,26,24,23,2147483647,2147483647,2147483647,2147483647,23,
51,0,44,11,11,7,2147483647,9,19,27,19,20,11,2147483647,9,18,4,2147483647,0,2147483647,31,28,9,14,12,21,18,12,14,13,6,2147483647,23,15,3,14,18,23,2147483647,9,15,24,2147483647,22,14,27,15,13,4,13,35,12,4,19,14,5,8,16,9,23,19,2147483647,22,22,4,4,6,17,2147483647,2147483647,20,2147483647,6,18,24,2147483647,5,27,2147483647,1,16,4,15,31,23,16,29,34,15,2147483647,20,2147483647,9,7,7,2147483647,2147483647,2147483647,2147483647,10,
7,24,0,28,35,24,2147483647,25,36,33,42,40,28,2147483647,32,18,28,2147483647,23,2147483647,51,45,26,20,35,38,33,29,34,36,30,2147483647,43,21,26,29,39,29,2147483647,29,32,48,2147483647,39,14,27,15,37,27,36,52,36,27,42,14,28,8,40,32,38,43,2147483647,22,22,28,28,29,40,2147483647,2147483647,35,2147483647,30,35,45,2147483647,28,27,2147483647,25,32,28,35,48,46,39,46,51,30,2147483647,40,2147483647,33,31,30,2147483647,2147483647,2147483647,2147483647,30,
62,20,55,0,31,18,2147483647,29,8,47,17,36,22,2147483647,29,34,24,2147483647,20,2147483647,47,17,20,34,24,32,24,23,30,25,17,2147483647,39,34,23,34,33,43,2147483647,23,26,44,2147483647,33,30,43,31,33,24,32,46,32,24,39,30,25,24,36,29,29,39,2147483647,38,38,24,24,26,30,2147483647,2147483647,26,2147483647,22,29,39,2147483647,17,43,2147483647,21,36,24,31,42,21,36,40,23,26,2147483647,36,2147483647,29,18,19,2147483647,2147483647,2147483647,2147483647,26,
59,20,52,19,0,15,2147483647,14,27,39,31,13,19,2147483647,21,29,23,2147483647,20,2147483647,42,36,17,26,19,29,13,20,7,20,17,2147483647,34,23,15,19,7,35,2147483647,20,23,29,2147483647,30,25,38,25,18,16,29,43,17,16,31,24,17,19,5,20,18,24,2147483647,32,30,9,9,18,20,2147483647,2147483647,15,2147483647,17,26,13,2147483647,12,35,2147483647,21,21,24,26,39,35,28,37,42,23,2147483647,31,2147483647,14,18,14,2147483647,2147483647,2147483647,2147483647,21,
44,16,37,4,15,0,2147483647,17,12,30,21,27,4,2147483647,12,25,20,2147483647,16,2147483647,38,21,2,17,15,14,28,5,21,13,13,2147483647,30,16,6,30,15,26,2147483647,5,8,40,2147483647,15,21,34,22,16,7,14,28,28,7,22,21,8,15,20,12,24,35,2147483647,29,29,20,20,9,26,2147483647,2147483647,21,2147483647,13,11,21,2147483647,8,34,2147483647,17,24,20,22,24,25,19,22,27,8,2147483647,27,2147483647,25,14,10,2147483647,2147483647,2147483647,2147483647,17,
54,10,47,14,14,10,0,11,22,19,28,26,14,2147483647,18,4,7,2147483647,9,2147483647,37,31,12,6,21,24,19,15,20,22,16,2147483647,29,7,12,15,21,15,2147483647,15,18,34,2147483647,25,0,13,1,23,13,22,38,22,13,28,0,14,18,19,18,24,29,2147483647,8,8,14,14,15,26,2147483647,2147483647,21,2147483647,16,21,27,2147483647,14,13,2147483647,11,18,14,21,34,32,25,32,37,16,2147483647,26,2147483647,19,17,16,2147483647,2147483647,2147483647,2147483647,16,
45,17,38,5,16,1,2147483647,0,13,31,22,28,5,2147483647,13,26,21,2147483647,17,2147483647,39,22,3,18,16,15,29,6,22,14,14,2147483647,31,9,7,31,16,27,2147483647,6,9,41,2147483647,16,22,35,23,17,8,15,29,29,8,23,22,9,16,21,13,25,36,2147483647,30,16,21,21,10,27,2147483647,2147483647,22,2147483647,14,12,22,2147483647,9,21,2147483647,18,7,21,23,25,26,20,23,28,9,2147483647,28,2147483647,26,15,11,2147483647,2147483647,2147483647,2147483647,18,
54,12,47,14,23,10,2147483647,21,0,39,9,28,14,2147483647,21,26,16,2147483647,12,2147483647,39,9,12,26,16,24,16,15,22,17,9,2147483647,31,26,15,26,25,35,2147483647,15,18,36,2147483647,25,22,35,23,25,16,24,38,24,16,31,22,17,16,28,21,21,31,2147483647,30,30,16,16,18,22,2147483647,2147483647,18,2147483647,14,21,31,2147483647,9,35,2147483647,13,28,16,23,34,13,28,32,15,18,2147483647,28,2147483647,21,10,11,2147483647,2147483647,2147483647,2147483647,18,
51,16,44,11,21,7,2147483647,6,19,0,22,27,11,2147483647,12,25,14,2147483647,16,2147483647,38,28,9,17,15,21,14,12,21,16,13,2147483647,30,15,6,10,22,26,2147483647,11,15,20,2147483647,22,21,34,17,10,7,21,35,8,7,22,16,8,15,9,12,19,15,2147483647,24,22,1,0,9,14,2147483647,2147483647,16,2147483647,13,18,21,2147483647,8,27,2147483647,17,13,20,22,31,26,19,29,34,15,2147483647,27,2147483647,6,14,10,2147483647,2147483647,2147483647,2147483647,17,
61,21,54,23,32,19,2147483647,27,31,35,0,32,23,2147483647,17,30,25,2147483647,21,2147483647,43,40,21,22,20,33,39,24,26,21,18,2147483647,35,33,11,35,27,31,2147483647,17,25,45,2147483647,32,26,39,27,33,12,31,45,33,12,27,26,13,20,37,17,15,40,2147483647,34,34,25,25,14,17,2147483647,2147483647,12,2147483647,18,30,33,2147483647,13,39,2147483647,22,34,25,27,41,4,24,39,46,25,2147483647,32,2147483647,30,19,15,2147483647,2147483647,2147483647,2147483647,22,
56,22,49,16,27,12,2147483647,11,24,36,28,0,16,2147483647,18,30,20,2147483647,22,2147483647,44,33,7,23,21,19,20,17,4,22,19,2147483647,36,20,12,16,20,32,2147483647,17,20,26,2147483647,27,26,39,22,15,13,26,40,14,13,28,21,14,20,32,8,25,21,2147483647,29,27,6,6,15,19,2147483647,2147483647,22,2147483647,19,16,26,2147483647,14,32,2147483647,23,18,26,28,36,32,25,34,39,20,2147483647,33,2147483647,11,20,16,2147483647,2147483647,2147483647,2147483647,23,
40,12,33,13,11,10,2147483647,13,21,26,18,23,0,2147483647,8,21,16,2147483647,12,2147483647,34,30,12,13,11,24,24,1,17,9,9,2147483647,26,12,2,26,18,22,2147483647,1,4,36,2147483647,11,17,30,18,12,3,10,24,24,3,18,17,4,11,16,8,29,31,2147483647,25,25,16,16,5,29,2147483647,2147483647,26,2147483647,9,21,24,2147483647,4,30,2147483647,13,20,16,18,20,22,15,18,36,4,2147483647,23,2147483647,21,10,6,2147483647,2147483647,2147483647,2147483647,13,
54,12,47,14,20,10,2147483647,21,22,34,31,28,14,0,21,19,13,2147483647,12,2147483647,39,31,12,21,16,24,30,15,22,17,9,2147483647,31,22,15,26,25,30,2147483647,15,18,36,2147483647,25,15,28,16,25,16,24,38,24,16,31,15,17,9,25,21,34,31,2147483647,23,23,16,16,18,29,2147483647,2147483647,31,2147483647,14,21,31,2147483647,9,28,2147483647,13,28,16,23,34,35,28,7,37,18,2147483647,28,2147483647,21,10,11,2147483647,2147483647,2147483647,2147483647,18,
53,11,46,13,22,9,2147483647,13,21,35,10,22,13,2147483647,0,20,15,2147483647,11,2147483647,33,30,11,22,15,23,29,14,16,16,8,2147483647,25,22,14,25,10,31,2147483647,14,17,35,2147483647,24,16,29,17,24,15,23,37,23,15,10,16,16,10,27,13,25,30,2147483647,24,24,15,15,17,27,2147483647,2147483647,22,2147483647,8,20,16,2147483647,8,29,2147483647,12,20,15,17,33,14,7,31,36,17,2147483647,22,2147483647,20,9,5,2147483647,2147483647,2147483647,2147483647,12,
66,36,59,26,37,22,2147483647,21,34,50,43,47,26,2147483647,34,0,40,2147483647,35,2147483647,58,43,24,37,35,36,45,27,41,35,33,2147483647,50,20,28,41,37,46,2147483647,27,30,60,2147483647,37,31,9,27,20,29,18,50,48,29,44,26,30,25,42,34,46,55,2147483647,34,34,40,40,31,48,2147483647,2147483647,43,2147483647,33,33,43,2147483647,28,39,2147483647,37,28,40,42,46,47,41,44,49,12,2147483647,47,2147483647,45,34,30,2147483647,2147483647,2147483647,2147483647,37,
