0,2147483647,12,29,14,15,18,17,2147483647,21,21,18,20,15,2147483647,18,18,27,16,22,12,18,8,22,17,10,23,2147483647,21,26,2147483647,22,22,31,18,23,25,23,19,20,17,2147483647,17,29,15,19,10,29,6,17,19,19,18,20,20,14,23,6,20,26,20,18,22,21,20,2147483647,20,2147483647,13,2147483647,25,2147483647,11,27,20,16,15,27,16,24,27,15,29,7,18,21,31,26,20,25,20,16,24,8,22,18,22,11,2147483647,18,22,16,22,24,33,20,19,21,16,20,17,13,22,23,12,26,22,22,8,9,19,17,28,16,26,22,17,13,22,21,24,19,16,22,15,15,23,27,18,21,14,17,21,20,29,22,14,21,24,15,22,16,18,23,13,22,15,17,19,16,11,5,23,19,15,10,25,22,14,26,23,13,16,18,22,28,14,2147483647,24,20,14,19,17,16,13,29,15,17,29,2147483647,21,13,14,10,2147483647,17,25,15,21,20,13,9,24,17,17,25,22,20,20,24,22,8,18,21,26,34,2147483647,16,19,16,21,14,19,18,16,2,18,13,18,29,2147483647,16,18,14,21,19,11,16,15,14,8,19,20,4,14,32,15,2147483647,2147483647,14,
27,0,18,33,23,25,27,21,12,27,36,16,26,14,2147483647,27,24,28,22,20,29,27,25,28,19,27,27,2147483647,22,27,2147483647,22,32,29,16,31,30,27,25,22,21,2147483647,22,33,28,20,16,31,21,22,19,26,25,23,19,25,22,21,27,32,29,22,21,21,25,2147483647,20,2147483647,22,2147483647,29,2147483647,28,33,24,22,21,25,20,28,29,25,29,20,23,21,35,30,26,34,18,16,26,19,25,17,20,22,9,26,20,20,28,28,35,19,24,23,23,31,18,19,20,36,28,25,26,27,25,25,23,19,32,21,24,29,23,18,27,23,15,23,27,28,25,23,23,31,27,27,29,23,26,22,35,24,19,25,26,20,27,20,16,13,25,28,25,24,25,21,24,22,23,23,24,24,29,26,18,25,23,24,20,35,12,32,29,2147483647,14,18,19,24,23,21,22,27,20,20,33,2147483647,25,18,19,23,2147483647,22,24,25,26,23,25,26,26,22,19,25,28,28,24,26,27,23,27,25,29,36,2147483647,14,19,28,25,23,25,28,21,29,27,25,27,29,2147483647,21,23,25,26,30,28,20,25,19,23,31,10,21,28,34,25,2147483647,21,19,
24,2147483647,0,30,17,22,23,13,2147483647,16,33,13,23,20,2147483647,20,18,25,19,17,26,22,24,21,16,25,24,2147483647,16,25,2147483647,18,25,26,13,26,25,26,14,19,17,2147483647,15,30,22,17,21,24,19,24,16,23,22,16,16,19,19,21,22,25,23,18,24,18,21,2147483647,17,2147483647,24,2147483647,26,2147483647,25,22,21,14,13,22,19,25,22,21,27,18,16,19,34,26,19,28,19,14,23,16,22,14,17,16,2147483647,21,17,19,21,27,28,24,13,16,20,24,18,13,17,30,22,29,23,20,21,21,22,15,29,10,21,26,12,11,16,16,24,20,20,17,18,18,20,28,24,16,26,20,28,16,24,21,8,22,23,13,23,19,13,22,24,17,18,21,14,18,21,20,19,20,21,21,26,22,15,22,20,17,19,31,21,31,26,2147483647,23,15,16,21,16,23,20,24,22,20,30,2147483647,19,20,16,21,2147483647,15,21,22,19,20,22,24,23,24,16,23,20,22,23,23,20,20,24,21,26,29,2147483647,11,16,25,21,20,14,24,23,26,21,26,20,26,2147483647,14,16,18,23,23,25,19,21,12,21,26,19,20,17,31,22,2147483647,2147483647,12,
29,2147483647,23,0,22,26,22,18,2147483647,24,13,21,25,20,2147483647,14,16,24,19,25,25,18,21,20,16,21,23,2147483647,21,21,2147483647,23,26,4,21,25,23,17,22,27,22,2147483647,19,22,18,25,21,25,17,23,18,27,21,17,15,24,18,17,25,24,21,20,19,20,12,2147483647,19,2147483647,23,2147483647,30,2147483647,24,30,25,19,21,30,17,23,26,11,23,19,15,15,32,15,18,29,15,10,25,19,21,13,24,20,2147483647,20,25,24,20,25,29,25,21,17,22,28,19,11,25,26,18,31,28,16,20,22,20,11,31,18,29,30,20,15,24,20,25,19,24,21,19,17,7,32,17,20,25,19,25,21,28,23,16,26,25,9,28,17,21,19,19,25,19,20,22,22,22,16,18,19,14,22,30,9,14,21,28,21,23,29,22,22,6,2147483647,15,23,20,14,15,15,19,32,21,16,34,2147483647,22,19,20,21,2147483647,19,20,7,20,25,19,20,25,23,24,19,28,27,14,25,16,18,17,10,28,33,2147483647,19,18,22,10,20,18,20,15,19,22,19,16,30,2147483647,10,12,22,7,25,24,24,11,16,19,25,20,17,25,30,26,2147483647,2147483647,16,
20,2147483647,10,25,0,11,7,14,2147483647,10,29,12,19,11,2147483647,18,15,20,13,16,20,20,18,18,14,18,14,2147483647,18,12,2147483647,8,19,25,12,23,22,9,8,6,3,2147483647,14,19,14,19,8,18,6,14,15,19,16,10,11,14,14,16,16,24,20,12,18,17,15,2147483647,16,2147483647,19,2147483647,21,2147483647,19,16,16,15,10,21,13,27,16,8,23,12,15,15,17,12,10,22,15,10,19,8,16,13,20,11,2147483647,18,20,2,18,10,22,16,16,10,17,16,11,10,16,22,14,22,23,19,12,9,5,14,24,13,20,22,6,10,19,10,12,19,16,11,12,15,19,23,9,10,22,17,17,6,18,17,11,17,22,12,17,13,12,10,10,11,12,15,8,17,20,16,9,10,18,19,21,8,14,17,19,13,2,26,9,14,22,2147483647,11,17,15,20,15,13,4,27,12,15,25,2147483647,9,10,15,15,2147483647,14,16,23,13,16,15,18,22,14,15,19,17,12,6,19,19,16,21,7,23,23,2147483647,14,15,18,7,3,8,15,13,22,15,15,18,24,2147483647,13,15,10,17,19,19,2,8,11,8,15,7,14,11,26,21,2147483647,2147483647,11,
20,2147483647,21,25,13,0,16,12,2147483647,15,27,12,17,6,2147483647,9,13,20,10,16,19,17,15,16,10,12,12,2147483647,14,20,2147483647,17,23,25,12,19,18,19,13,18,12,2147483647,10,28,8,10,19,22,12,10,12,18,17,14,15,5,18,12,16,20,18,14,13,14,17,2147483647,13,2147483647,20,2147483647,21,2147483647,18,21,16,9,12,21,16,24,20,11,22,8,11,14,29,21,14,22,14,9,17,14,15,13,16,11,2147483647,14,16,15,16,22,26,13,12,14,9,19,13,8,16,16,8,19,16,15,15,0,17,10,24,9,20,21,11,6,15,14,18,15,15,15,16,11,19,23,18,14,20,18,14,15,22,15,7,17,19,8,18,16,12,16,6,16,16,16,13,12,17,15,18,8,15,17,21,17,10,21,19,12,12,25,15,24,20,2147483647,17,14,10,15,11,9,6,23,8,11,25,2147483647,18,6,10,8,2147483647,10,20,14,14,16,6,19,19,10,15,18,19,21,16,17,15,12,18,16,19,27,2147483647,10,12,9,16,15,12,11,9,21,15,6,9,22,2147483647,9,11,13,16,18,18,15,16,7,14,12,13,11,16,28,17,2147483647,2147483647,7,
22,2147483647,22,27,14,4,0,13,2147483647,16,28,13,18,10,2147483647,13,14,21,11,17,20,18,16,17,11,16,16,2147483647,16,21,2147483647,5,24,26,13,20,19,18,14,19,12,2147483647,11,28,12,14,20,24,13,11,13,19,21,16,16,9,19,13,18,21,19,15,17,15,18,2147483647,14,2147483647,21,2147483647,23,2147483647,19,22,18,13,13,22,17,25,22,15,23,9,12,15,26,21,15,23,15,10,18,15,16,14,17,12,2147483647,15,17,11,17,19,28,17,13,16,13,20,14,9,17,20,12,23,20,16,16,4,14,11,26,10,21,22,12,7,16,16,6,19,16,17,18,12,20,25,18,16,21,19,15,16,24,16,8,19,20,9,22,17,13,17,10,17,18,20,14,16,18,16,19,12,17,18,23,17,14,22,20,13,11,26,16,23,21,2147483647,18,15,14,19,12,10,10,24,9,12,27,2147483647,19,7,14,12,2147483647,11,21,18,15,18,10,20,20,11,16,19,20,22,15,18,16,13,20,16,20,29,2147483647,11,13,13,16,17,14,15,10,22,16,10,13,23,2147483647,10,12,14,17,19,19,11,17,8,15,16,14,12,17,30,21,2147483647,2147483647,8,
21,2147483647,15,26,14,18,16,0,2147483647,16,24,13,18,7,2147483647,12,8,17,11,17,17,10,13,15,11,13,19,2147483647,15,13,2147483647,5,18,26,13,20,15,22,14,19,4,2147483647,11,20,9,11,13,17,9,11,13,19,13,9,8,6,11,9,17,21,13,15,14,15,18,2147483647,14,2147483647,18,2147483647,22,2147483647,16,22,17,1,13,22,9,24,21,9,15,9,12,7,24,13,15,21,7,2,18,11,16,14,16,12,2147483647,15,17,16,15,17,21,17,13,9,14,20,14,3,17,17,9,23,17,8,13,14,12,3,25,10,21,22,12,7,16,15,13,16,16,16,11,12,18,24,18,15,17,11,15,3,23,16,8,18,20,9,19,9,13,11,14,17,11,12,14,13,14,8,6,16,15,15,22,9,11,14,20,13,15,21,10,27,17,2147483647,12,15,11,16,12,10,14,24,9,8,26,2147483647,6,7,11,12,2147483647,11,13,17,15,17,13,12,20,11,16,11,20,9,19,18,16,11,18,8,20,28,2147483647,11,13,16,8,12,13,12,10,19,14,14,12,23,2147483647,2,4,14,17,19,16,16,9,8,11,20,8,9,17,23,18,2147483647,2147483647,8,
21,2147483647,13,26,13,20,16,12,0,15,27,12,17,17,2147483647,15,12,20,10,16,19,17,15,16,10,20,23,2147483647,15,20,2147483647,17,23,25,12,19,18,22,13,18,16,2147483647,10,29,17,16,19,23,12,10,12,18,21,15,15,16,18,12,17,20,17,14,21,14,17,2147483647,13,2147483647,20,2147483647,22,2147483647,18,21,17,13,12,21,16,24,21,13,22,8,11,14,28,24,14,22,14,9,17,14,15,13,16,11,2147483647,14,16,15,16,21,27,20,12,15,16,19,13,7,16,25,17,26,22,15,15,16,16,7,25,9,20,21,11,6,15,15,18,19,15,16,17,11,19,24,19,15,20,18,14,15,23,15,7,18,19,8,21,16,12,16,13,16,17,20,13,15,17,15,18,19,16,17,22,18,14,21,19,12,15,25,15,27,20,2147483647,17,14,15,18,11,9,13,23,8,11,26,2147483647,18,6,15,11,2147483647,10,20,20,14,17,13,19,19,10,15,18,19,21,19,17,15,12,19,19,19,28,2147483647,10,12,16,19,16,13,16,9,21,15,13,15,22,2147483647,9,11,13,16,18,18,15,13,7,14,19,13,11,16,29,21,2147483647,9,7,
20,2147483647,11,20,15,14,15,14,2147483647,0,28,9,18,17,2147483647,18,16,10,12,13,21,20,17,19,9,9,12,2147483647,14,21,2147483647,14,19,22,9,18,21,19,16,15,13,2147483647,13,20,13,13,9,18,8,13,11,21,18,10,1,18,4,15,18,23,18,13,8,13,16,2147483647,12,2147483647,19,2147483647,22,2147483647,20,6,17,15,10,18,13,21,16,17,23,11,14,15,32,22,17,22,17,10,18,10,14,10,13,13,2147483647,13,13,17,19,25,22,14,15,10,10,22,12,11,13,21,13,20,19,18,17,14,20,13,25,12,17,24,14,9,18,10,18,16,18,11,12,10,15,24,19,10,21,8,17,12,18,16,10,18,18,11,20,13,9,16,9,19,12,17,16,14,16,16,15,16,17,16,22,18,11,7,16,15,12,26,15,24,21,2147483647,17,11,12,17,14,8,12,20,11,14,26,2147483647,15,9,12,14,2147483647,13,6,18,13,16,12,8,18,13,12,19,17,18,16,18,18,8,20,17,22,23,2147483647,7,11,15,17,18,8,14,8,22,15,12,18,22,2147483647,12,14,16,15,21,20,17,18,10,10,15,13,13,1,16,14,2147483647,2147483647,10,
