0,2147483647,2147483647,18,8,2147483647,12,2147483647,4,11,2147483647,11,13,14,13,16,20,11,10,13,12,8,2147483647,18,2147483647,
30,0,5,33,23,2147483647,29,14,21,26,2147483647,26,28,31,28,33,37,28,25,28,21,23,2147483647,16,2147483647,
25,2147483647,0,28,18,2147483647,24,9,16,21,2147483647,21,23,26,23,28,32,23,20,23,16,18,2147483647,11,2147483647,
27,2147483647,2147483647,0,20,2147483647,4,2147483647,23,23,2147483647,23,25,6,12,32,12,27,22,25,23,20,2147483647,18,2147483647,
13,2147483647,2147483647,10,0,2147483647,8,2147483647,9,3,2147483647,3,5,10,5,12,16,7,2,5,4,6,2147483647,10,2147483647,
14,2147483647,2147483647,9,7,0,3,2147483647,5,10,2147483647,10,12,5,11,7,11,2,9,4,5,7,2,0,2147483647,
23,2147483647,2147483647,26,16,2147483647,0,2147483647,19,19,2147483647,19,21,2,8,28,8,23,18,21,19,16,2147483647,14,2147483647,
16,2147483647,2147483647,19,9,2147483647,15,0,7,12,2147483647,12,14,17,14,19,23,14,11,14,7,9,2147483647,2,2147483647,
11,2147483647,2147483647,14,4,2147483647,8,2147483647,0,7,2147483647,7,9,10,9,12,16,7,6,9,8,4,2147483647,14,2147483647,
17,2147483647,2147483647,7,10,2147483647,7,2147483647,12,0,2147483647,13,2,9,2,11,15,6,12,2,12,10,2147483647,7,2147483647,
25,2147483647,2147483647,28,18,2147483647,26,2147483647,21,21,0,21,23,4,10,30,10,25,20,23,21,18,2147483647,16,2147483647,
17,2147483647,2147483647,20,10,2147483647,5,2147483647,6,13,2147483647,0,15,7,13,9,13,4,12,15,14,10,2147483647,19,2147483647,
19,2147483647,2147483647,21,12,2147483647,5,2147483647,10,15,2147483647,15,0,7,13,9,13,4,14,16,10,12,2147483647,5,2147483647,
21,2147483647,2147483647,24,14,2147483647,22,2147483647,17,17,2147483647,17,19,0,6,26,6,21,16,19,17,14,2147483647,12,2147483647,
15,2147483647,2147483647,18,8,2147483647,16,2147483647,11,11,2147483647,11,13,18,0,20,24,15,10,13,11,8,2147483647,6,2147483647,
33,2147483647,2147483647,12,26,2147483647,10,2147483647,29,29,2147483647,29,31,12,18,0,18,9,28,7,29,26,2147483647,24,2147483647,
15,2147483647,2147483647,18,8,2147483647,16,2147483647,11,11,2147483647,11,13,18,0,20,0,15,10,13,11,8,2147483647,6,2147483647,
24,2147483647,2147483647,17,17,2147483647,1,2147483647,20,20,2147483647,20,22,3,9,5,9,0,19,12,20,17,2147483647,15,2147483647,
11,2147483647,2147483647,8,4,2147483647,8,2147483647,13,1,2147483647,7,3,10,3,12,16,7,0,3,2,4,2147483647,8,2147483647,
32,2147483647,2147483647,5,25,2147483647,9,2147483647,28,28,2147483647,28,30,11,17,37,17,32,27,0,28,25,2147483647,23,2147483647,
9,2147483647,2147483647,12,2,2147483647,10,2147483647,11,5,2147483647,5,7,12,7,14,18,9,4,7,0,2,2147483647,12,2147483647,
7,2147483647,2147483647,10,0,2147483647,8,2147483647,9,3,2147483647,3,5,10,5,12,16,7,2,5,4,0,2147483647,10,2147483647,
24,2147483647,2147483647,17,17,2147483647,1,2147483647,20,20,2147483647,20,22,3,9,5,9,0,19,12,20,17,0,15,2147483647,
14,2147483647,2147483647,17,7,2147483647,13,2147483647,5,10,2147483647,10,12,15,12,17,21,12,9,12,5,7,2147483647,0,2147483647,
34,2147483647,2147483647,9,27,2147483647,13,2147483647,30,30,9,30,32,13,19,39,19,34,29,32,30,27,2147483647,25,0,
